19:31:18-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [01 46 00 12 60], wT = 600
19:31:18-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [01 46 00 12 60], wT = 600
19:31:19-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [02 46 00 E2 60], wT = 600
19:31:20-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [02 46 00 E2 60], wT = 600
19:31:20-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [03 46 00 B3 A0], wT = 600
19:31:21-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [03 46 00 B3 A0], wT = 600
19:31:22-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [04 46 00 02 61], wT = 600
19:31:22-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [04 46 00 02 61], wT = 600
19:31:22-> Modbus RTU OK  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [05 46 00 53 A1], Rec [05 46 00 44 4C 00 10 94 4D ]wT = 17
19:31:23-> Modbus RTU OK  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [05 46 00 53 A1], Rec [05 46 00 44 4C 00 10 94 4D ]wT = 17
19:31:23-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [06 46 00 A3 A1], wT = 600
19:31:24-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [06 46 00 A3 A1], wT = 600
19:31:25-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [07 46 00 F2 61], wT = 600
19:31:25-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [07 46 00 F2 61], wT = 600
19:31:26-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [08 46 00 C2 62], wT = 600
19:31:27-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [08 46 00 C2 62], wT = 600
19:31:27-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [09 46 00 93 A2], wT = 600
19:31:28-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [09 46 00 93 A2], wT = 600
19:31:29-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[N,8,1], , CmdType [100], Cmd [0A 46 00 63 A2], wT = 600
19:31:30-> Modbus RTU Timeout  GET_MODULE_NAME,B[19200],F[E,8,1], , CmdType [100], Cmd [0A 46 00 63 A2], wT = 600
