10:05:34 AM-> [1662066]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tP8]Raw [21 30 31 74 50 38 ]
10:05:34 AM-> [15]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.6]Raw [21 30 31 41 31 2E 36 ]
10:05:34 AM-> [16]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0131]Raw [21 30 31 33 31 ]
10:05:34 AM-> [31]DCON GetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01400680]Raw [21 30 31 34 30 30 36 38 30 ]
10:05:34 AM-> [16]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001400580], Rec [!01]Raw [21 30 31 ]
10:05:34 AM-> [31]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001400680], Rec [!01]Raw [21 30 31 ]
10:05:34 AM-> Close COM 1
10:06:44 AM-> [69124]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tP8]Raw [21 30 31 74 50 38 ]
10:06:44 AM-> [31]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.6]Raw [21 30 31 41 31 2E 36 ]
10:06:44 AM-> [16]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0131]Raw [21 30 31 33 31 ]
10:06:44 AM-> [31]DCON GetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01400680]Raw [21 30 31 34 30 30 36 38 30 ]
10:06:44 AM-> [15]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001400580], Rec [!01]Raw [21 30 31 ]
10:06:44 AM-> [32]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001400680], Rec [!01]Raw [21 30 31 ]
10:06:44 AM-> Close COM 1
10:07:06 AM-> [21918]DCON GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tP8]Raw [21 30 31 74 50 38 ]
10:07:06 AM-> [15]DCON GET_MODULE_FIRMWARE,B[9600],F[N,8,1], C[Disable], Cmd [$00F], Rec [!01A1.6]Raw [21 30 31 41 31 2E 36 ]
10:07:06 AM-> [32]DCON GET_MODULE_PROTOCOL,B[9600],F[N,8,1], C[Disable], Cmd [$00P], Rec [!0131]Raw [21 30 31 33 31 ]
10:07:06 AM-> [15]DCON GetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [$002], Rec [!01400680]Raw [21 30 31 34 30 30 36 38 30 ]
10:07:06 AM-> [31]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001400580], Rec [!01]Raw [21 30 31 ]
10:07:06 AM-> [32]DCON SetModuleConfig,B[9600],F[N,8,1], C[Disable], Cmd [%0001400680], Rec [!01]Raw [21 30 31 ]
10:07:06 AM-> Close COM 1
10:07:32 AM-> [26395]DCON GetModuleName,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec [!01tP8]Raw [21 30 31 74 50 38 ]
